cellname, organoid, celltype, cGMP
20190121c02, dummy, cone, 0
20190121c03, dummy, cone, 0
20190121c04, dummy, cone, 0
20190121c06, dummy, cone, 0 
20190121c07, dummy, cone, 1 
20190121c08, dummy, cone, 0 
20190121c09, dummy, cone, 0
20190121c10, dummy, cone, 1 
20190121c11, dummy, cone, 1 
20190121c12, dummy, cone, 0 
20190121c13, dummy, cone, 1 
20190121c14, dummy, cone, 1 
20190121c15, dummy, cone, 0 
20190121c16, dummy, rod, 0 
20190121c17, dummy, rod, 0 
20190121c18, dummy, rod, 0 
20190121c20, dummy, rod, 1 
20190127c08, allTrans, rod, 1 
20190127c09, allTrans, cone, 1 
20190128c07, 9cis, cone, 1 
20190128c08, 9cis, rod, 1 
20190128c09, allTrans, cone, 1 
20190128c10, allTrans, rod, 1 
20190128c11, allTrans, rod, 1 