cellname, startTime
20190121c02, 1/21/19, 2:35:38 PM
20190121c03, 1/21/19, 2:47:05 PM
20190121c04, 1/21/19, 2:56:21 PM
20190121c06, 1/21/19, 3:23:11 PM
20190121c07, 1/21/19, 3:37:45 PM
20190121c08, 1/21/19, 3:46:07 PM
20190121c09, 1/21/19, 4:02:42 PM
20190121c10, 1/21/19, 4:11:55 PM
20190121c11, 1/21/19, 4:17:46 PM
20190121c12, 1/21/19, 4:38:41 PM
20190121c13, 1/21/19, 4:51:28 PM
20190121c14, 1/21/19, 5:00:17 PM
20190121c15, 1/21/19, 5:08:31 PM
20190121c16, 1/21/19, 5:25:16 PM
20190121c17, 1/21/19, 5:30:51 PM
20190121c18, 1/21/19, 5:50:11 PM
20190121c20, 1/21/19, 6:00:05 PM
20190127c08, 1/27/19, 7:51:46 PM
20190127c09, 1/27/19, 8:00:18 PM
20190128c07, 1/28/19, 5:05:28 PM
20190128c08, 1/28/19, 5:11:49 PM
20190128c09, 1/28/19, 6:32:49 PM
20190128c10, 1/28/19, 7:03:14 PM, *** 1/28/19, 7:05:18 PM
20190128c11, 1/28/19, 7:11:28 PM